,threshold-competitive,impact-long-queues,initial-corona-number,service-timeSA,policy-implemented,time-slot?,percentage-competitive,cum-infected,average-timequeue,min-timequeue,max-timequeue,cum-infected-10080,cum-infected-18720
160,30,3,4,3,policy 0 (baseline),False,10,570,224.1875,2,427,15,84
161,30,3,4,3,policy 0 (baseline),False,10,512,272.1022727,2,852,14,87
162,30,3,4,3,policy 0 (baseline),False,10,534,223.4204545,2,809,18,91
163,30,3,4,3,policy 0 (baseline),False,10,642,328.125,2,903,16,105
164,30,3,4,3,policy 0 (baseline),False,10,505,309.5738636,2,831,17,92
165,30,3,4,3,policy 0 (baseline),False,10,433,325.2727273,2,907,24,74
166,30,3,4,3,policy 0 (baseline),False,10,629,393.6193182,2,930,15,101
167,30,3,4,3,policy 0 (baseline),False,10,598,267.6022727,2,864,15,118
168,30,3,4,3,policy 0 (baseline),False,10,456,352.4034091,2,947,17,68
169,30,3,4,3,policy 0 (baseline),False,10,388,261.3238636,2,893,11,51
170,30,3,4,4,policy 0 (baseline),False,10,730,618,3,1512,16,162
171,30,3,4,4,policy 0 (baseline),False,10,538,452.2954545,3,1056,12,87
172,30,3,4,4,policy 0 (baseline),False,10,696,494.8636364,3,1048,17,124
173,30,3,4,4,policy 0 (baseline),False,10,572,409.4715909,3,960,13,87
174,30,3,4,4,policy 0 (baseline),False,10,609,377.3693182,3,931,17,90
175,30,3,4,4,policy 0 (baseline),False,10,565,551.3636364,3,1119,17,91
176,30,3,4,4,policy 0 (baseline),False,10,677,446.5568182,3,1035,14,116
177,30,3,4,4,policy 0 (baseline),False,10,460,468.3636364,3,993,16,78
178,30,3,4,4,policy 0 (baseline),False,10,648,558.4204545,3,1486,17,158
179,30,3,4,4,policy 0 (baseline),False,10,792,521.8806818,3,1277,20,204
180,30,3,4,5,policy 0 (baseline),False,10,721,581.1079545,4,1137,14,142
181,30,3,4,5,policy 0 (baseline),False,10,807,795.75,4,1763,18,237
182,30,3,4,5,policy 0 (baseline),False,10,566,639.4147727,4,1197,13,99
183,30,3,4,5,policy 0 (baseline),False,10,789,801.375,4,1769,15,198
184,30,3,4,5,policy 0 (baseline),False,10,669,635.1136364,4,1201,15,111
185,30,3,4,5,policy 0 (baseline),False,10,617,633.8920455,4,1221,13,104
186,30,3,4,5,policy 0 (baseline),False,10,580,655.9147727,4,1242,17,115
187,30,3,4,5,policy 0 (baseline),False,10,704,632.9943182,4,1182,14,137
188,30,3,4,5,policy 0 (baseline),False,10,542,587.9771429,4,1167,16,82
189,30,3,4,5,policy 0 (baseline),False,10,716,710.7329545,4,1280,17,183
190,30,3,4,6,policy 0 (baseline),False,10,782,913.1363636,5,2412,14,207
191,30,3,4,6,policy 0 (baseline),False,10,779,985.4090909,5,2460,14,197
192,30,3,4,6,policy 0 (baseline),False,10,705,925.2897727,6,1704,12,137
193,30,3,4,6,policy 0 (baseline),False,10,515,793.9602273,5,1401,15,93
194,30,3,4,6,policy 0 (baseline),False,10,681,799.9375,5,1455,15,133
195,30,3,4,6,policy 0 (baseline),False,10,505,792.2628571,5,1382,12,62
196,30,3,4,6,policy 0 (baseline),False,10,710,796.3579545,6,1400,15,140
197,30,3,4,6,policy 0 (baseline),False,10,834,1079.517045,5,2355,12,260
198,30,3,4,6,policy 0 (baseline),False,10,600,746.3068182,5,1336,14,87
199,30,3,4,6,policy 0 (baseline),False,10,756,887.8806818,5,1745,14,163
200,30,3,5,2,policy 0 (baseline),False,10,636,92.65340909,1,262,15,117
201,30,3,5,2,policy 0 (baseline),False,10,548,53.05142857,1,169,15,94
202,30,3,5,2,policy 0 (baseline),False,10,758,68.17045455,1,231,22,146
203,30,3,5,2,policy 0 (baseline),False,10,543,171.8920455,1,405,17,88
204,30,3,5,2,policy 0 (baseline),False,10,528,116.4431818,1,328,21,77
205,30,3,5,2,policy 0 (baseline),False,10,517,84.32954545,1,263,28,111
206,30,3,5,2,policy 0 (baseline),False,10,667,175.4545455,1,411,24,136
207,30,3,5,2,policy 0 (baseline),False,10,555,21.77272727,1,91,18,85
208,30,3,5,2,policy 0 (baseline),False,10,524,71.72159091,1,234,20,79
209,30,3,5,2,policy 0 (baseline),False,10,637,92.34659091,1,269,17,89
210,30,3,5,3,policy 0 (baseline),False,10,747,359.3238636,2,971,24,201
211,30,3,5,3,policy 0 (baseline),False,10,546,380.0681818,2,916,20,92
212,30,3,5,3,policy 0 (baseline),False,10,668,276.9204545,2,804,25,137
213,30,3,5,3,policy 0 (baseline),False,10,776,313.3011364,2,1004,23,201
214,30,3,5,3,policy 0 (baseline),False,10,544,217.1363636,2,796,19,85
215,30,3,5,3,policy 0 (baseline),False,10,548,347.8977273,2,909,18,86
216,30,3,5,3,policy 0 (baseline),False,10,626,377.8181818,2,947,24,119
217,30,3,5,3,policy 0 (baseline),False,10,535,234.2670455,2,739,18,103
218,30,3,5,3,policy 0 (baseline),False,10,668,277.7329545,2,853,21,116
219,30,3,5,3,policy 0 (baseline),False,10,590,284.1818182,2,872,26,121
220,30,3,5,4,policy 0 (baseline),False,10,680,424.8693182,3,981,20,112
221,30,3,5,4,policy 0 (baseline),False,10,740,540.7784091,3,1138,21,160
222,30,3,5,4,policy 0 (baseline),False,10,756,520.8068182,3,1092,25,173
223,30,3,5,4,policy 0 (baseline),False,10,591,529.4829545,3,1058,17,123
224,30,3,5,4,policy 0 (baseline),False,10,695,449.0284091,3,1074,21,133
225,30,3,5,4,policy 0 (baseline),False,10,519,436.8181818,3,984,20,94
226,30,3,5,4,policy 0 (baseline),False,10,741,446.0340909,3,1122,23,172
227,30,3,5,4,policy 0 (baseline),False,10,741,481.875,3,1058,23,168
228,30,3,5,4,policy 0 (baseline),False,10,564,568.3125,3,1131,19,114
229,30,3,5,4,policy 0 (baseline),False,10,661,551.6193182,3,1055,20,118
230,30,3,5,5,policy 0 (baseline),False,10,664,695.7272727,4,1272,19,119
231,30,3,5,5,policy 0 (baseline),False,10,611,580.9090909,4,1135,17,126
232,30,3,5,5,policy 0 (baseline),False,10,779,793.8465909,4,1768,22,220
233,30,3,5,5,policy 0 (baseline),False,10,560,591.3181818,4,1158,19,93
234,30,3,5,5,policy 0 (baseline),False,10,629,631.6988636,4,1177,18,129
235,30,3,5,5,policy 0 (baseline),False,10,652,634.5852273,4,1216,23,140
